neighborhood,title,price,bedrooms,pid,longitude,date,subregion,link,latitude,sqft
 (mountain view),Remodeled 2 Bedroom 1 Bath Condo in Serene Cypress Point Community,$2095,   / 2br - 843ft² -    ,4075394103,,Sep 18 2013,South Bay,/sby/apa/4075394103.html,,   / 2br - 843ft² -    
,Now Accepting Applications for the Waiting List @ 408.251.7570,$1248,   / 1br - 565ft² -    ,4075258271,,Sep 18 2013,South Bay,/sby/apa/4075258271.html,,   / 1br - 565ft² -    
 (hayward / castro valley),Beautiful Two Bedroom Loft Only $1875!!!,$1875,   / 2br - 851ft² -    ,4076640042,,Sep 18 2013,East Bay,/eby/apa/4076640042.html,,   / 2br - 851ft² -    
 (dublin / pleasanton / livermore),Spacious is an understatement,$29995,   / 2br - 1418ft² -    ,4076615916,-121.911587,Sep 18 2013,East Bay,/eby/apa/4076615916.html,37.704357,   / 2br - 1418ft² -    
 (fairfield / vacaville),KANSAS ST - 3/2 Newly Updated - FAIRFIELD,$1450,   / 3br - 1264ft² -    ,4061080863,-122.056386,Sep 18 2013,East Bay,/eby/apa/4061080863.html,38.255294,   / 3br - 1264ft² -    
 (brentwood / oakley),HAYSTACK CT - Spacious & Private 4/3 - BRENTWOOD,$2295,   / 4br - 2229ft² -    ,4076645330,-121.713430,Sep 18 2013,East Bay,/eby/apa/4076645330.html,37.926895,   / 4br - 2229ft² -    
" (hercules, pinole, san pablo, el sob)",CHELSEA - COZY 2/1 CONDO - NEWLY UPDATED - HERCULES,$1425,   / 2br - 869ft² -    ,4046384331,-122.261660,Sep 18 2013,East Bay,/eby/apa/4046384331.html,38.020716,   / 2br - 869ft² -    
 (vallejo / benicia),GRENNAN ST - 3/1 Newly Updated - VALLEJO,$1225,   / 3br - 1048ft² -    ,4034680052,-122.227387,Sep 18 2013,East Bay,/eby/apa/4034680052.html,38.103651,   / 3br - 1048ft² -    
 (fairfield / vacaville),MELROSE CT - Beautiful 3/3 - Newly Updated - VACAVILLE,$1695,   / 3br - 1626ft² -    ,4034681512,-121.950456,Sep 18 2013,East Bay,/eby/apa/4034681512.html,38.341175,   / 3br - 1626ft² -    
 (pittsburg / antioch),MEPHAM DR - Beautiful 4/2.5 - Newly Updated - PITTSBURG,$1895,   / 4br - 1996ft² -    ,4016769441,-121.900232,Sep 18 2013,East Bay,/eby/apa/4016769441.html,38.021731,   / 4br - 1996ft² -    
 (pittsburg / antioch),RUBYE DR - 3/2 with 2 Bonus Rooms! - ANTIOCH,$1299,   / 3br - 1173ft² -    ,4034691371,-121.795566,Sep 18 2013,East Bay,/eby/apa/4034691371.html,38.002288,   / 3br - 1173ft² -    
 (vallejo / benicia),722 INDIANA ST - 3/2 Newly Updated - VALLEJO,$1395,   / 3br - 1368ft² -    ,4016793447,-122.252643,Sep 18 2013,East Bay,/eby/apa/4016793447.html,38.110961,   / 3br - 1368ft² -    
 (berkeley),2 Bedroom Fully Furnished Condo Only 1 Block North of UC Berkeley,$6000,   / 2br - 900ft² -    ,4030650511,-122.265365,Sep 18 2013,East Bay,/eby/apa/4030650511.html,37.876598,   / 2br - 900ft² -    
 (san jose north),3BR/2.5BA / North San Jose Spacious Townhouse,$2950,   / 3br - 1620ft² -    ,4074782887,-121.890768,Sep 18 2013,South Bay,/sby/apa/4074782887.html,37.383210,   / 3br - 1620ft² -    
 (sunnyvale),Studio,$1250,      ,4066115147,-122.032407,Sep 18 2013,South Bay,/sby/apa/4066115147.html,37.353157,      
 (sunnyvale),2 Bed 2 Bath Condo Cupertino Schools Short Term Accepted,$2400,   / 2br - 930ft² -    ,4044948945,-122.014430,Sep 18 2013,South Bay,/sby/apa/4044948945.html,37.351939,   / 2br - 930ft² -    
 (san jose south),Evergreen Newly remodeled 3 Bed 1.5 Bath 2-Story Townhouse ,$2280,   / 3br -    ,4063978296,-121.894960,Sep 18 2013,South Bay,/sby/apa/4063978296.html,37.339390,   / 3br -    
 (san jose south),2-Story Evergreen Newly remodeled 3 Bed 1.5 Bath Townhouse ,$2280,   / 3br -    ,4057097492,-121.894960,Sep 18 2013,South Bay,/sby/apa/4057097492.html,37.339390,   / 3br -    
 (willow glen / cambrian),"2/2 luxury new condo, easy commute, close to shopping",$2500,   / 2br - 1144ft² -    ,4065643762,-121.868248,Sep 18 2013,South Bay,/sby/apa/4065643762.html,37.295632,   / 2br - 1144ft² -    
 (willow glen / cambrian),"2Bed/2Bath luxury new condo, easy commute, close to shopping",$2500,   / 2br - 1144ft² -    ,4065202798,-121.869621,Sep 18 2013,South Bay,/sby/apa/4065202798.html,37.296179,   / 2br - 1144ft² -    
 (san jose east),** 1B/1B  Condo/ Laundry/ Garage/Patio / Alum Rock ,$1350,   / 1br - 560ft² -    ,4049371370,-121.851288,Sep 18 2013,South Bay,/sby/apa/4049371370.html,37.355641,   / 1br - 560ft² -    
 (san jose north),两房两卫一厅出租,$1925,   / 2br - 976ft² -    ,4074766902,-121.872466,Sep 17 2013,South Bay,/sby/apa/4074766902.html,37.391139,   / 2br - 976ft² -    
 (san jose west),2BR 2BA Furnished Condo,,  2br -    ,4068024736,-121.938942,Sep 17 2013,South Bay,/sby/apa/4068024736.html,37.312818,  2br -    
 (fremont / union city / newark),"Positively Peaceful on Pistol Court, Fremont Ardenwood area",$2350,   / 3br - 1300ft² -    ,4076878464,-122.058572,Sep 18 2013,East Bay,/eby/apa/4076878464.html,37.571070,   / 3br - 1300ft² -    
 (fairfield / vacaville),Amazing Ranch Home,$1800,   / 4br - 1807ft² -    ,4070044577,-121.953197,Sep 18 2013,East Bay,/eby/apa/4070044577.html,38.346258,   / 4br - 1807ft² -    
 (concord / pleasant hill / martinez),QUIET and ELEGANT 2 BED/1.5 BTHS TOWNHOUSE IN CONCORD,$1495,   / 2br - 973ft² -    ,4019963407,-121.960430,Sep 18 2013,East Bay,/eby/apa/4019963407.html,37.947649,   / 2br - 973ft² -    
 (concord / pleasant hill / martinez),Down stairs in-law ,$900,   / 1br - 600ft² -    ,4076876738,-122.135000,Sep 18 2013,East Bay,/eby/apa/4076876738.html,37.986400,   / 1br - 600ft² -    
 (concord / pleasant hill / martinez),Large Townhome Style Apartments near Treat/Oak Grove,$1350,   / 2br - 1000ft² -    ,4076871298,,Sep 18 2013,East Bay,/eby/apa/4076871298.html,,   / 2br - 1000ft² -    
 (concord / pleasant hill / martinez),"Clean, Quiet, Safe and Walk to Downtown Concord",$850,   / 1br - 600ft² -    ,4076875493,-122.042935,Sep 18 2013,East Bay,/eby/apa/4076875493.html,37.969982,   / 1br - 600ft² -    
 (berkeley north / hills), - Spanish Style Town-Home,$3600,   / 2br - 1650ft² -    ,4076868786,-122.263509,Sep 18 2013,East Bay,/eby/apa/4076868786.html,37.878223,   / 2br - 1650ft² -    
 (brentwood / oakley),Great 3 bedroom townhouse,$1750,   / 3br - 1667ft² -    ,4076872893,-121.695864,Sep 18 2013,East Bay,/eby/apa/4076872893.html,37.940323,   / 3br - 1667ft² -    
 (richmond / point / annex),3 Bedroom Richmond Annex Home,$1500,   / 3br - 980ft² -    ,4076871256,-122.250000,Sep 18 2013,East Bay,/eby/apa/4076871256.html,37.500000,   / 3br - 980ft² -    
 (walnut creek),"Wonderful Community, Pet Friendly, Move In Today!!!!",$1650,   / 2br - 1000ft² -    ,4076523293,,Sep 18 2013,East Bay,/eby/apa/4076523293.html,,   / 2br - 1000ft² -    
 (oakland north / temescal),Big 3brVictorian apartment on quiet dead end street,$2250,   / 3br - 1500ft² -    ,4076512869,-122.276180,Sep 18 2013,East Bay,/eby/apa/4076512869.html,37.844596,   / 3br - 1500ft² -    
 (oakland east),FOR RENT 2 BEDS/ 1 BTH TOWNHOUSE STYLE APT SECTION 8 WELCOME,$1075,   / 2br -    ,4064283731,-122.175582,Sep 18 2013,East Bay,/eby/apa/4064283731.html,37.762942,   / 2br -    
 (oakland east),2BD/1BTH ,$1075,   / 2br -    ,4066070138,-122.175582,Sep 18 2013,East Bay,/eby/apa/4066070138.html,37.762942,   / 2br -    
" (Vallejo, Fairfield, Martinez)",***LOVE WHERE YOU LIVE*** 707.643.1100,$1250,   / 2br - 870ft² -    ,4076499590,-122.241874,Sep 18 2013,East Bay,/eby/apa/4076499590.html,38.083062,   / 2br - 870ft² -    
 (walnut creek),No Barking Dogs in Our Lovely Community!,$1767,   / 1br - 726ft² -    ,4076503124,-122.066444,Sep 18 2013,East Bay,/eby/apa/4076503124.html,37.901224,   / 1br - 726ft² -    
 (oakland east),"House for rent, cute 1bdrm small house available to rent. ",$900,   / 1br -    ,4076518164,-122.188390,Sep 18 2013,East Bay,/eby/apa/4076518164.html,37.762990,   / 1br -    
 (fremont / union city / newark),"Refresh, Rejuvenate, Relax",$1649,   / 1br - 700ft² -    ,4076510273,-121.972382,Sep 18 2013,East Bay,/eby/apa/4076510273.html,37.539728,   / 1br - 700ft² -    
 (oakland lake merritt / grand),1-2BR/1BA near Lake Merritt in Oakland w/ Parking Option,$1750,   / 1br -    ,4076426829,,Sep 18 2013,East Bay,/eby/apa/4076426829.html,,   / 1br -    
 (dublin / pleasanton / livermore),Green Grass & Shady Trees... Tour Our Beautiful Community Today!,$1720,   / 1br - 657ft² -    ,4076516496,,Sep 18 2013,East Bay,/eby/apa/4076516496.html,,   / 1br - 657ft² -    
 (san leandro),Modern 2bd/2 bath condo in ashland,$1550,   / 2br - 875ft² -    ,4076515956,-122.124000,Sep 18 2013,East Bay,/eby/apa/4076515956.html,37.702400,   / 2br - 875ft² -    
 (SOMA / south beach),SPACIOUS 1 Bedroom Apartment + DEN!! w/ Parking Included!,$3200,   / 1br - 916ft² -    ,4063401906,-122.403878,Sep 18 2013,SF,/sfc/apa/4063401906.html,37.770063,   / 1br - 916ft² -    
 (alamo square / nopa),Studio - Alamo Sq,$1600,   / 1br - 400ft² -    ,4076154208,-122.438177,Sep 18 2013,SF,/sfc/apa/4076154208.html,37.776856,   / 1br - 400ft² -    
 (SOMA / south beach),Be Just Steps From The Best City When You Live at Archstone South Mark,$2860,   / 1br -    ,4076156197,-122.397100,Sep 18 2013,SF,/sfc/apa/4076156197.html,37.762100,   / 1br -    
 (downtown / civic / van ness),Quiet and Charming One-Bedroom Apartment,$2300,   / 1br -    ,4076158332,-122.417267,Sep 18 2013,SF,/sfc/apa/4076158332.html,37.787166,   / 1br -    
 (marina / cow hollow),2 Bedroom Full Floor Marina Flat,$4695,   / 2br - 1250ft² -    ,4061589519,,Sep 17 2013,SF,/sfc/apa/4061589519.html,,   / 2br - 1250ft² -    
 (noe valley),Incredible Two Bedroom with VIEWS and PARKING Included! - ReLISTO,$3600,   / 2br -    ,4067604821,-122.442525,Sep 17 2013,SF,/sfc/apa/4067604821.html,37.752380,   / 2br -    
 (potrero hill),"Potrero Hill Luxury Studio w/Deck, Views â€"" PROGRESSIVE ",$2250,      ,4073143084,-122.401086,Sep 17 2013,SF,/sfc/apa/4073143084.html,37.757171,      
 (pacific heights),"Spacious Panoramic View Flat~Big Garden, Pets Ok, Optional 1-2 Car Gar",$8000,   / 2br - 3000ft² -    ,4073296518,-122.436567,Sep 17 2013,SF,/sfc/apa/4073296518.html,37.794058,   / 2br - 3000ft² -    
 (ingleside / SFSU / CCSF),Exceptionally Well-Maintained 2 BR Home with Bonus Room!,$3400,   / 2br -    ,4023630433,-122.495670,Sep 17 2013,SF,/sfc/apa/4023630433.html,37.729741,   / 2br -    
 (lower nob hill),Moving To San Francisco? Large/Renovated Downtown Studio NOW AVAILABLE,$2305,   / 500ft² -    ,4073206401,-122.413799,Sep 17 2013,SF,/sfc/apa/4073206401.html,37.786649,   / 500ft² -    
 (western addition),Fantastic 1 BR Apartment at Fillmore Center -- Only $2725,$2725,   / 1br - 699ft² -    ,4073284434,-122.432681,Sep 17 2013,SF,/sfc/apa/4073284434.html,37.783170,   / 1br - 699ft² -    
 (west portal / forest hill),ELEGANT FAMILY HOME ST. FRANCIS WOOD AREA,$5250,   / 3br - 2850ft² -    ,4029216854,,Sep 17 2013,SF,/sfc/apa/4029216854.html,,   / 3br - 2850ft² -    
 (mission district),2 Bed 1 Bath Updated Apartment ,$2500,   / 2br -    ,4073260434,,Sep 17 2013,SF,/sfc/apa/4073260434.html,,   / 2br -    
 (richmond / seacliff),"►►Lovely Studio Unit, Excellent Location",$1000,   / 180ft² -    ,4064903327,-122.487548,Sep 17 2013,SF,/sfc/apa/4064903327.html,37.774480,   / 180ft² -    
 (haight ashbury),Large Edwardian 2BR//new kitchen//laundry on site//Available Now,$3250,   / 2br -    ,4043594585,-122.446854,Sep 17 2013,SF,/sfc/apa/4043594585.html,37.769867,   / 2br -    
 (western addition),Commuters Welcome! Complimentary shuttle to Financial District daily.,$2999,   / 1br - 705ft² -    ,4073264535,-122.432681,Sep 17 2013,SF,/sfc/apa/4073264535.html,37.783170,   / 1br - 705ft² -    
 (santa clara),Laminate Flooring! Granite Counters! Great Location!,$1395,   / 1br -    ,4075719057,,Sep 18 2013,South Bay,/sby/apa/4075719057.html,,   / 1br -    
 (san jose north),"2br 2ba rarely available, save $700/mo! yahoo ebay etc near!",$2186,   / 2br - 1120ft² -    ,4075718367,-121.940600,Sep 18 2013,South Bay,/sby/apa/4075718367.html,37.408700,   / 2br - 1120ft² -    
 (sunnyvale),2 story townhouse cupertino schools remodeled wash/dryer large patio,$2550,   / 2br - 1300ft² -    ,4075549998,-122.041571,Sep 18 2013,South Bay,/sby/apa/4075549998.html,37.342741,   / 2br - 1300ft² -    
 (santa clara),"Downstairs Apartment, Granite Counters, New Bathroom!",$1350,   / 1br - 625ft² -    ,4075714359,,Sep 18 2013,South Bay,/sby/apa/4075714359.html,,   / 1br - 625ft² -    
 (san jose north),Epic is the Place to Live! Come See Why!,$2079,   / 1br - 739ft² -    ,4075712496,-121.920261,Sep 18 2013,South Bay,/sby/apa/4075712496.html,37.397710,   / 1br - 739ft² -    
 (santa clara),NEW REMODEL & PRICE SPECIAL + $500 OFF Move-in!  Washer&Dryer  1 ONLY,$2099,   / 2br - 973ft² -    ,4075710888,,Sep 18 2013,South Bay,/sby/apa/4075710888.html,,   / 2br - 973ft² -    
 (santa clara),"An impeccable 1 BR, 1 BA apartment in Santa Clara, CALIFORNIA.",$2010,   / 1br - 790ft² -    ,4075706822,-121.959929,Sep 18 2013,South Bay,/sby/apa/4075706822.html,37.397865,   / 1br - 790ft² -    
 (santa clara),"Nice 1x1. Hurry, $500 Special on Select Units Only!",$1824,   / 1br - 700ft² -    ,4075709187,,Sep 18 2013,South Bay,/sby/apa/4075709187.html,,   / 1br - 700ft² -    
 (santa clara),Renovated 1x1 Available Now! $500 Move In Special!,$1866,   / 1br - 700ft² -    ,4075708101,,Sep 18 2013,South Bay,/sby/apa/4075708101.html,,   / 1br - 700ft² -    
 (los gatos),GREAT 2 BR 2 BA apartment DOWNTOWN LOS GATOS     ,$3795,   / 2br - 985ft² -    ,4075707486,,Sep 18 2013,South Bay,/sby/apa/4075707486.html,,   / 2br - 985ft² -    
 (san jose downtown),Cook in a Gourmet Kitchen - Read ad for Special ,$2364,   / 1br - 813ft² -    ,4075704280,,Sep 18 2013,South Bay,/sby/apa/4075704280.html,,   / 1br - 813ft² -    
 (san jose downtown),Two Bedrooms Separated by the Living Room,$2843,   / 2br - 1077ft² -    ,4075850172,,Sep 18 2013,South Bay,/sby/apa/4075850172.html,,   / 2br - 1077ft² -    
 (santa clara),"Live In A Peaceful Resort Style Community,  Prime Santa Clara Location",$1924,   / 2br -    ,4075802369,-121.956353,Sep 18 2013,South Bay,/sby/apa/4075802369.html,37.356394,   / 2br -    
 (cupertino),Spacious 2x1.5 Townhome Available For Middle Of October!,$3100,   / 2br -    ,4063041462,,Sep 18 2013,South Bay,/sby/apa/4063041462.html,,   / 2br -    
 (santa clara),Santa Clara Home,$2375,   / 3br -    ,4075830589,,Sep 18 2013,South Bay,/sby/apa/4075830589.html,,   / 3br -    
 (cupertino),A Place to Grow and Expand - A Place Called HOME!,$3390,   / 2br - 1200ft² -    ,4075844291,,Sep 18 2013,South Bay,/sby/apa/4075844291.html,,   / 2br - 1200ft² -    
 (santa clara),1BR *LXRY APTS*Beautiful Iilona Collection*Corner unit;AVAILABLE NOW!,$2250,   / 1br - 901ft² -    ,4075842183,-121.993170,Sep 18 2013,South Bay,/sby/apa/4075842183.html,37.351084,   / 1br - 901ft² -    
 (san jose downtown),Beautiful Penthouse with Largest Wraparound Balcony in Axis,$6000,   / 3br - 1756ft² -    ,4067746889,,Sep 18 2013,South Bay,/sby/apa/4067746889.html,,   / 3br - 1756ft² -    
 (milpitas),house for rent,$2850,   / 3br - 2000ft² -    ,4025001963,,Sep 18 2013,South Bay,/sby/apa/4025001963.html,,   / 3br - 2000ft² -    
 (sunnyvale),"Cozy, quiet small 1 bedroom for rent",$1400,   / 1br -    ,4075779492,,Sep 18 2013,South Bay,/sby/apa/4075779492.html,,   / 1br -    
 (san jose south),"3 bd, 2 bath Cutie!",$2495,   / 3br - 1123ft² -    ,4051094508,-121.836225,Sep 18 2013,South Bay,/sby/apa/4051094508.html,37.258989,   / 3br - 1123ft² -    
 (santa clara),Studio close to 49er Stadium /  Belaire Apartments,$1250,   / 1br - 650ft² -    ,4075832405,-121.970069,Sep 18 2013,South Bay,/sby/apa/4075832405.html,37.340341,   / 1br - 650ft² -    
 (sunnyvale),Open House!!! Move In Specials!!! Call Right Now!!!,$2229,   / 1br - 869ft² -    ,4076253689,,Sep 18 2013,South Bay,/sby/apa/4076253689.html,,   / 1br - 869ft² -    
 (san jose south),Our Olive Your Next Home!,$2210,   / 2br - 900ft² -    ,4076251184,-121.830117,Sep 18 2013,South Bay,/sby/apa/4076251184.html,37.257219,   / 2br - 900ft² -    
 (cupertino),THE BILTMORE APARTMENTS - A Smoke Free Community,$2309,   / 1br - 701ft² -    ,4076251061,,Sep 18 2013,South Bay,/sby/apa/4076251061.html,,   / 1br - 701ft² -    
 (san jose north),Relax w/ A Mountain View From Your Bedroom Window! 1 Mo. FREE!!,$2420,   / 1br - 856ft² -    ,4076214563,-121.942672,Sep 18 2013,South Bay,/sby/apa/4076214563.html,37.410227,   / 1br - 856ft² -    
 (sunnyvale),"Heart is Where the ""Heart of Sunnyvale"" is...",$1942,   / 1br - 710ft² -    ,4076198796,,Sep 18 2013,South Bay,/sby/apa/4076198796.html,,   / 1br - 710ft² -    
 (sunnyvale),Conveniently Located Within Steps of CalTrain Station.,$2750,   / 2br - 1049ft² -    ,4076241770,,Sep 18 2013,South Bay,/sby/apa/4076241770.html,,   / 2br - 1049ft² -    
 (san jose east),Senior Community Condo,$1900,   / 2br - 1240ft² -    ,4076226380,-121.755971,Sep 18 2013,South Bay,/sby/apa/4076226380.html,37.297920,   / 2br - 1240ft² -    
 (santa clara),"~Gorgeous Lake Fron Apartment For RENT,,Ask About It's Special~",$1801,   / 1br - 805ft² -    ,4076240171,,Sep 18 2013,South Bay,/sby/apa/4076240171.html,,   / 1br - 805ft² -    
 (santa clara),"Ground Floor, Water Front, Spacious, Bright, Clean 1bd. Move TODAY!",$1801,   / 1br - 805ft² -    ,4076236751,,Sep 18 2013,South Bay,/sby/apa/4076236751.html,,   / 1br - 805ft² -    
 (sunnyvale),Corner 2 Bedroom Apartment With Lots of Natural Light.,$2720,   / 2br - 1056ft² -    ,4076233812,,Sep 18 2013,South Bay,/sby/apa/4076233812.html,,   / 2br - 1056ft² -    
 (sunnyvale),Your very own Park-like Community!,$2275,   / 2br - 804ft² -    ,4076232186,-122.040687,Sep 18 2013,South Bay,/sby/apa/4076232186.html,37.383033,   / 2br - 804ft² -    
 (campbell),Enjoy Life in this 2BR/1BA Luxury Apartment!,$2040,   / 2br -    ,4076047262,-121.956186,Sep 18 2013,South Bay,/sby/apa/4076047262.html,37.280022,   / 2br -    
 (willow glen / cambrian),Relax In Our Media Center & Take in a Favorite Film With Some Friends,$2386,   / 2br - 1173ft² -    ,4076002958,-121.910863,Sep 18 2013,South Bay,/sby/apa/4076002958.html,37.316540,   / 2br - 1173ft² -    
 (san jose west),Pet-Friendly One-Bedroom Home in Luxury Apt. Community!,$1725,   / 1br - 725ft² -    ,4076036223,,Sep 18 2013,South Bay,/sby/apa/4076036223.html,,   / 1br - 725ft² -    
 (cupertino),"1005sf, 2 bed 2 bath, Cupertino Schools, Freeway Access",$2750,   / 2br - 1005ft² -    ,4075955829,-122.032205,Sep 18 2013,South Bay,/sby/apa/4075955829.html,37.336870,   / 2br - 1005ft² -    
 (cupertino),GREAT WEST CUPERTINO/Double PaneWindows/AC/GraniteCtrs/Pool/Spa/Fit,$2745,   / 2br - 955ft² -    ,4075883306,,Sep 18 2013,South Bay,/sby/apa/4075883306.html,,   / 2br - 955ft² -    
 (sunnyvale),Beautiful remodeled two bedroom,$1995,   / 2br -    ,4071513293,-122.033220,Sep 18 2013,South Bay,/sby/apa/4071513293.html,37.351809,   / 2br -    
 (santa clara),A Unique One Bedroom Layout! Very Open and Inviting!,$1931,   / 1br - 825ft² -    ,4076028600,-121.961203,Sep 18 2013,South Bay,/sby/apa/4076028600.html,37.334286,   / 1br - 825ft² -    
 (San Jose North),Now Accepting Cool New Residents: Incomparable San Jose Living,$2000,   / 1br - 734ft² -    ,4075864871,-121.940600,Sep 18 2013,South Bay,/sby/apa/4075864871.html,37.408700,   / 1br - 734ft² -    
 (sunnyvale),Check out this delightful 2-bdrm home!,$2615,   / 2br - 1100ft² -    ,4076002884,-122.013001,Sep 18 2013,South Bay,/sby/apa/4076002884.html,37.382349,   / 2br - 1100ft² -    
 (san jose south),"3 Bedroom, 1.5 Bath Townhouse in a Serene Community!",$2185,   / 3br -    ,4075945338,,Sep 18 2013,South Bay,/sby/apa/4075945338.html,,   / 3br -    
 (campbell),Studio Apartment Coming 11/15!!!,$1400,   / 395ft² -    ,4075998652,,Sep 18 2013,South Bay,/sby/apa/4075998652.html,,   / 395ft² -    
 (santa clara),We Can't Wait To Get You In Here!,$2158,   / 1br - 720ft² -    ,4076441842,,Sep 18 2013,South Bay,/sby/apa/4076441842.html,,   / 1br - 720ft² -    
 (sunnyvale),Newly Remodeled Townhouse Apartment homes! Available End of Septembe,$2395,   / 2br -    ,4048321471,,Sep 18 2013,South Bay,/sby/apa/4048321471.html,,   / 2br -    
 (san jose north),Available NOW!!  1 BR 1 BA Apartment Home,$2500,   / 1br - 935ft² -    ,4076447821,-121.953463,Sep 18 2013,South Bay,/sby/apa/4076447821.html,37.414836,   / 1br - 935ft² -    
 (cupertino),"3 Bd - Great Schools, new cabinets, floors, appliances, pool, park",$3095,   / 3br - 1200ft² -    ,4071934772,,Sep 18 2013,South Bay,/sby/apa/4071934772.html,,   / 3br - 1200ft² -    
 (sunnyvale),Cozy one bedroom available!,$1605,   / 1br - 620ft² -    ,4076428112,,Sep 18 2013,South Bay,/sby/apa/4076428112.html,,   / 1br - 620ft² -    
 (campbell),MAKE PRUNEYARD GARDEN APARTMENTS YOUR HOME,$1150,   / 300ft² -    ,4076426892,-121.935625,Sep 18 2013,South Bay,/sby/apa/4076426892.html,37.285765,   / 300ft² -    
 (sunnyvale),"Excellent 1 Bedroom Apartment, Ideal Just for You, Cupertino",$2200,   / 1br - 740ft² -    ,4076301363,-122.032205,Sep 18 2013,South Bay,/sby/apa/4076301363.html,37.336870,   / 1br - 740ft² -    
 (san jose east),Gorgeous Townhouse -- Great Location,$2300,   / 3br - 1344ft² -    ,4049494553,-121.845567,Sep 18 2013,South Bay,/sby/apa/4049494553.html,37.354091,   / 3br - 1344ft² -    
 (san jose north),Beautiful apt homes available soon! Pre lease NOW! 6 wks free!!,$3309,   / 3br - 1297ft² -    ,4076330424,-121.938050,Sep 18 2013,South Bay,/sby/apa/4076330424.html,37.412846,   / 3br - 1297ft² -    
 (sunnyvale),OUR MOVE-IN SPECIAL IS ALMOST AS IMPRESSIVE AS OUR AMAZING PROPERTY ,$1999,   / 1br - 700ft² -    ,4076400857,-122.010469,Sep 18 2013,South Bay,/sby/apa/4076400857.html,37.352761,   / 1br - 700ft² -    
 (san jose south),SPACIOUS LOVELY 3 BR 2.5 BATH SINGLE FAMILY HOME FOR RENT,$3250,   / 3br - 1700ft² -    ,4036813299,,Sep 18 2013,South Bay,/sby/apa/4036813299.html,,   / 3br - 1700ft² -    
 (san jose west),Move into this 2b1b apartment today!,$1910,   / 2br - 720ft² -    ,4076519250,-121.966268,Sep 18 2013,South Bay,/sby/apa/4076519250.html,37.317924,   / 2br - 720ft² -    
 (san jose north),"Welcome Home To 121 Tasman! Luxury, Comfort, & Convenience Meet Here! ",$2675,   / 2br - 985ft² -    ,4076589859,-121.942672,Sep 18 2013,South Bay,/sby/apa/4076589859.html,37.410227,   / 2br - 985ft² -    
 (santa clara), Apartments For Rent in a wonderful neighborhood with flexible lease t,$1808,   / 1br - 738ft² -    ,4076615260,,Sep 18 2013,South Bay,/sby/apa/4076615260.html,,   / 1br - 738ft² -    
 (cupertino),Spacious 1112 sq ft floor plan,$2717,   / 2br -    ,4076614893,-122.066872,Sep 18 2013,South Bay,/sby/apa/4076614893.html,37.338041,   / 2br -    
 (santa clara),Need More Space? Pre Lease this 3x2 Available 10/30!,$2693,   / 3br - 1270ft² -    ,4076613189,,Sep 18 2013,South Bay,/sby/apa/4076613189.html,,   / 3br - 1270ft² -    
 (san jose west),1 Mo. FREE~*~*~Large Apt. Home w/Pool View ~ 2 Master ~Heated Pool&Spa,$3560,   / 2br - 1498ft² -    ,4076606225,,Sep 18 2013,South Bay,/sby/apa/4076606225.html,,   / 2br - 1498ft² -    
 (san jose north),Huge Patio. Move In Special,$2340,   / 2br - 1056ft² -    ,4076605788,,Sep 18 2013,South Bay,/sby/apa/4076605788.html,,   / 2br - 1056ft² -    
 (santa clara),Move In Today And Receive More Space!!!,$1808,   / 1br - 738ft² -    ,4076605553,,Sep 18 2013,South Bay,/sby/apa/4076605553.html,,   / 1br - 738ft² -    
 (san jose west),~*~*~*~*~*~*~*1 Month FREE ~ Hidden Gem walking distance 2 Santana Row,$3483,   / 3br - 1334ft² -    ,4076603093,,Sep 18 2013,South Bay,/sby/apa/4076603093.html,,   / 3br - 1334ft² -    
 (san jose west),Luxury Home in Resort Style Gated Community ~ Close to it ALL!,$2825,   / 2br - 1145ft² -    ,4076600240,,Sep 18 2013,South Bay,/sby/apa/4076600240.html,,   / 2br - 1145ft² -    
 (san jose downtown),Petite One Bedroom,$1941,   / 1br - 680ft² -    ,4075594392,,Sep 18 2013,South Bay,/sby/apa/4075594392.html,,   / 1br - 680ft² -    
 (san jose downtown),Move-In Special on This Two Bedroom Townhome,$3251,   / 2br - 1426ft² -    ,4075576677,,Sep 18 2013,South Bay,/sby/apa/4075576677.html,,   / 2br - 1426ft² -    
 (san jose north),Wake Up Every Morning With A Lake View,$3301,   / 3br - 1303ft² -    ,4075560975,,Sep 18 2013,South Bay,/sby/apa/4075560975.html,,   / 3br - 1303ft² -    
 (santa clara),"Spacious 3 Bedroom In Park Setting, Crystal Pool, Private Tennis Court",$2673,   / 3br -    ,4075591866,-121.956353,Sep 18 2013,South Bay,/sby/apa/4075591866.html,37.356326,   / 3br -    
 (santa clara),Beautiful 2x2 Available Now! $500 Special on Select Units,$2386,   / 2br - 1000ft² -    ,4075591636,,Sep 18 2013,South Bay,/sby/apa/4075591636.html,,   / 2br - 1000ft² -    
 (san jose south),THE WOODS OFFERS THE MOST FOR YOUR MONEY,$1495,   / 1br - 669ft² -    ,4075591453,-121.838561,Sep 18 2013,South Bay,/sby/apa/4075591453.html,37.275733,   / 1br - 669ft² -    
 (santa clara),"Nice Corner Unit. Hurry, $500 Look & Lease Special!",$1891,   / 1br - 700ft² -    ,4075590858,,Sep 18 2013,South Bay,/sby/apa/4075590858.html,,   / 1br - 700ft² -    
