country_group,seasonality,age_group,month,unemployment,unemployment_rate
eu,trend,y25-74,2002.11,15455000,7.7
eu,trend,y25-74,2002.12,15454000,7.7
eu,trend,y25-74,2003.01,15471000,7.7
eu,trend,y25-74,2003.02,15499000,7.7
eu,trend,y25-74,2003.03,15521000,7.7
eu,trend,y25-74,2003.04,15498000,7.7
eu,trend,y25-74,2003.05,15498000,7.7
eu,trend,y25-74,2003.06,15526000,7.7
eu,trend,y25-74,2003.07,15557000,7.7
eu,trend,y25-74,2003.08,15583000,7.7
eu,trend,y25-74,2003.09,15615000,7.8
eu,trend,y25-74,2003.10,15667000,7.8
eu,trend,y25-74,2003.11,15704000,7.8
eu,trend,y25-74,2003.12,15738000,7.8
eu,trend,y25-74,2004.01,15761000,7.8
eu,trend,y25-74,2004.02,15745000,7.8
eu,trend,y25-74,2004.03,15783000,7.8
eu,trend,y25-74,2004.04,15789000,7.8
eu,trend,y25-74,2004.05,15798000,7.8
eu,trend,y25-74,2004.06,15748000,7.8
eu,trend,y25-74,2004.07,15772000,7.8
eu,trend,y25-74,2004.08,15736000,7.7
eu,trend,y25-74,2004.09,15768000,7.7
eu,trend,y25-74,2004.10,15788000,7.7
eu,trend,y25-74,2004.11,15807000,7.7
eu,trend,y25-74,2004.12,15864000,7.8
eu,trend,y25-74,2005.01,15764000,7.7
eu,trend,y25-74,2005.02,15800000,7.7
eu,trend,y25-74,2005.03,15863000,7.7
eu,trend,y25-74,2005.04,15822000,7.7
eu,trend,y25-74,2005.05,15787000,7.7
eu,trend,y25-74,2005.06,15785000,7.7
eu,trend,y25-74,2005.07,15650000,7.6
eu,trend,y25-74,2005.08,15618000,7.6
eu,trend,y25-74,2005.09,15648000,7.6
eu,trend,y25-74,2005.10,15641000,7.6
eu,trend,y25-74,2005.11,15586000,7.5
eu,trend,y25-74,2005.12,15420000,7.4
eu,trend,y25-74,2006.01,15332000,7.4
eu,trend,y25-74,2006.02,15206000,7.3
eu,trend,y25-74,2006.03,15103000,7.3
eu,trend,y25-74,2006.04,14958000,7.2
eu,trend,y25-74,2006.05,14800000,7.1
eu,trend,y25-74,2006.06,14645000,7
eu,trend,y25-74,2006.07,14474000,6.9
eu,trend,y25-74,2006.08,14383000,6.9
eu,trend,y25-74,2006.09,14225000,6.8
eu,trend,y25-74,2006.10,14072000,6.7
eu,trend,y25-74,2006.11,13904000,6.7
eu,trend,y25-74,2006.12,13710000,6.6
eu,trend,y25-74,2007.01,13463000,6.4
eu,trend,y25-74,2007.02,13300000,6.4
eu,trend,y25-74,2007.03,13104000,6.3
eu,trend,y25-74,2007.04,12908000,6.2
eu,trend,y25-74,2007.05,12880000,6.1
eu,trend,y25-74,2007.06,12729000,6.1
eu,trend,y25-74,2007.07,12814000,6.1
eu,trend,y25-74,2007.08,12691000,6
eu,trend,y25-74,2007.09,12631000,6
eu,trend,y25-74,2007.10,12509000,5.9
eu,trend,y25-74,2007.11,12415000,5.9
eu,trend,y25-74,2007.12,12442000,5.9
eu,trend,y25-74,2008.01,12245000,5.8
eu,trend,y25-74,2008.02,12094000,5.7
eu,trend,y25-74,2008.03,12040000,5.7
eu,trend,y25-74,2008.04,12241000,5.8
eu,trend,y25-74,2008.05,12329000,5.8
eu,trend,y25-74,2008.06,12495000,5.9
eu,trend,y25-74,2008.07,12585000,5.9
eu,trend,y25-74,2008.08,12759000,6
eu,trend,y25-74,2008.09,12868000,6
eu,trend,y25-74,2008.10,13133000,6.2
eu,trend,y25-74,2008.11,13437000,6.3
eu,trend,y25-74,2008.12,13833000,6.5
eu,trend,y25-74,2009.01,14398000,6.7
eu,trend,y25-74,2009.02,14922000,7
eu,trend,y25-74,2009.03,15504000,7.2
eu,trend,y25-74,2009.04,15824000,7.4
eu,trend,y25-74,2009.05,16120000,7.5
eu,trend,y25-74,2009.06,16356000,7.6
eu,trend,y25-74,2009.07,16599000,7.8
eu,trend,y25-74,2009.08,16740000,7.8
eu,trend,y25-74,2009.09,16993000,7.9
eu,trend,y25-74,2009.10,17126000,8
eu,trend,y25-74,2009.11,17276000,8.1
eu,trend,y25-74,2009.12,17387000,8.1
eu,trend,y25-74,2010.01,17577000,8.2
eu,trend,y25-74,2010.02,17678000,8.2
eu,trend,y25-74,2010.03,17737000,8.3
eu,trend,y25-74,2010.04,17762000,8.3
eu,trend,y25-74,2010.05,17803000,8.3
eu,trend,y25-74,2010.06,17819000,8.3
eu,trend,y25-74,2010.07,17863000,8.3
eu,trend,y25-74,2010.08,17866000,8.3
eu,trend,y25-74,2010.09,17851000,8.3
eu,trend,y25-74,2010.10,17869000,8.3
eu,trend,y25-74,2010.11,17778000,8.2
eu,trend,y25-74,2010.12,17754000,8.2
eu,trend,y_lt25,2000.01,5112000,17.8
eu,trend,y_lt25,2000.02,5105000,17.7
eu,trend,y_lt25,2000.03,5095000,17.7
eu,trend,y_lt25,2000.04,5064000,17.5
eu,trend,y_lt25,2000.05,5042000,17.4
eu,trend,y_lt25,2000.06,5020000,17.4
eu,trend,y_lt25,2000.07,5000000,17.3
eu,trend,y_lt25,2000.08,4996000,17.3
eu,trend,y_lt25,2000.09,4996000,17.2
eu,trend,y_lt25,2000.10,4951000,17.1
eu,trend,y_lt25,2000.11,4951000,17.1
eu,trend,y_lt25,2000.12,4955000,17.1
eu,trend,y_lt25,2001.01,4948000,17.1
eu,trend,y_lt25,2001.02,4991000,17.2
eu,trend,y_lt25,2001.03,5000000,17.2
eu,trend,y_lt25,2001.04,4986000,17.2
eu,trend,y_lt25,2001.05,4995000,17.2
eu,trend,y_lt25,2001.06,5007000,17.3
eu,trend,y_lt25,2001.07,5004000,17.3
eu,trend,y_lt25,2001.08,5022000,17.4
eu,trend,y_lt25,2001.09,5042000,17.5
eu,trend,y_lt25,2001.10,5062000,17.6
eu,trend,y_lt25,2001.11,5088000,17.7
eu,trend,y_lt25,2001.12,5088000,17.7
eu,trend,y_lt25,2002.01,5090000,17.7
eu,trend,y_lt25,2002.02,5084000,17.7
eu,trend,y_lt25,2002.03,5087000,17.7
eu,trend,y_lt25,2002.04,5096000,17.8
eu,trend,y_lt25,2002.05,5106000,17.8
eu,trend,y_lt25,2002.06,5142000,18
eu,trend,y_lt25,2002.07,5128000,18
eu,trend,y_lt25,2002.08,5130000,18
eu,trend,y_lt25,2002.09,5125000,18.1
eu,trend,y_lt25,2002.10,5102000,18.1
eu,trend,y_lt25,2002.11,5104000,18.1
eu,trend,y_lt25,2002.12,5092000,18.1
eu,trend,y_lt25,2003.01,5094000,18.1
eu,trend,y_lt25,2003.02,5097000,18.1
eu,trend,y_lt25,2003.03,5090000,18.2
eu,trend,y_lt25,2003.04,5110000,18.2
eu,trend,y_lt25,2003.05,5120000,18.2
eu,trend,y_lt25,2003.06,5139000,18.3
eu,trend,y_lt25,2003.07,5096000,18.3
eu,trend,y_lt25,2003.08,5064000,18.2
eu,trend,y_lt25,2003.09,5031000,18.1
eu,trend,y_lt25,2003.10,5016000,18.1
eu,trend,y_lt25,2003.11,5008000,18.1
eu,trend,y_lt25,2003.12,5035000,18.2
eu,trend,y_lt25,2004.01,5105000,18.3
eu,trend,y_lt25,2004.02,5124000,18.4
eu,trend,y_lt25,2004.03,5161000,18.5
eu,trend,y_lt25,2004.04,5179000,18.6
eu,trend,y_lt25,2004.05,5174000,18.6
eu,trend,y_lt25,2004.06,5181000,18.7
eu,trend,y_lt25,2004.07,5169000,18.6
eu,trend,y_lt25,2004.08,5171000,18.6
eu,trend,y_lt25,2004.09,5178000,18.7
eu,trend,y_lt25,2004.10,5163000,18.7
eu,trend,y_lt25,2004.11,5190000,18.7
eu,trend,y_lt25,2004.12,5170000,18.6
eu,trend,y_lt25,2005.01,5126000,18.5
eu,trend,y_lt25,2005.02,5149000,18.6
eu,trend,y_lt25,2005.03,5171000,18.7
eu,trend,y_lt25,2005.04,5138000,18.6
eu,trend,y_lt25,2005.05,5114000,18.6
eu,trend,y_lt25,2005.06,5090000,18.5
eu,trend,y_lt25,2005.07,5044000,18.4
eu,trend,y_lt25,2005.08,5024000,18.3
eu,trend,y_lt25,2005.09,5023000,18.3
eu,trend,y_lt25,2005.10,5001000,18.2
eu,trend,y_lt25,2005.11,4939000,18
eu,trend,y_lt25,2005.12,4923000,18
eu,trend,y_lt25,2006.01,4897000,17.9
eu,trend,y_lt25,2006.02,4910000,17.9
eu,trend,y_lt25,2006.03,4861000,17.8
eu,trend,y_lt25,2006.04,4823000,17.6
eu,trend,y_lt25,2006.05,4791000,17.5
eu,trend,y_lt25,2006.06,4698000,17.2
eu,trend,y_lt25,2006.07,4660000,17
eu,trend,y_lt25,2006.08,4638000,17
eu,trend,y_lt25,2006.09,4613000,16.9
eu,trend,y_lt25,2006.10,4554000,16.7
eu,trend,y_lt25,2006.11,4527000,16.6
eu,trend,y_lt25,2006.12,4454000,16.3
eu,trend,y_lt25,2007.01,4408000,16.2
eu,trend,y_lt25,2007.02,4306000,15.9
eu,trend,y_lt25,2007.03,4248000,15.7
eu,trend,y_lt25,2007.04,4189000,15.5
eu,trend,y_lt25,2007.05,4175000,15.4
eu,trend,y_lt25,2007.06,4191000,15.5
eu,trend,y_lt25,2007.07,4185000,15.4
eu,trend,y_lt25,2007.08,4196000,15.5
eu,trend,y_lt25,2007.09,4127000,15.2
eu,trend,y_lt25,2007.10,4096000,15.1
eu,trend,y_lt25,2007.11,4050000,14.9
eu,trend,y_lt25,2007.12,4057000,14.9
eu,trend,y_lt25,2008.01,4025000,14.8
eu,trend,y_lt25,2008.02,4003000,14.7
eu,trend,y_lt25,2008.03,3993000,14.8
eu,trend,y_lt25,2008.04,4040000,14.9
eu,trend,y_lt25,2008.05,4106000,15.2
eu,trend,y_lt25,2008.06,4159000,15.4
eu,trend,y_lt25,2008.07,4187000,15.5
eu,trend,y_lt25,2008.08,4221000,15.6
eu,trend,y_lt25,2008.09,4302000,15.9
eu,trend,y_lt25,2008.10,4398000,16.3
eu,trend,y_lt25,2008.11,4513000,16.7
eu,trend,y_lt25,2008.12,4607000,17.1
eu,trend,y_lt25,2009.01,4759000,17.7
eu,trend,y_lt25,2009.02,4897000,18.3
eu,trend,y_lt25,2009.03,5044000,18.8
eu,trend,y_lt25,2009.04,5131000,19.2
eu,trend,y_lt25,2009.05,5167000,19.4
eu,trend,y_lt25,2009.06,5215000,19.7
eu,trend,y_lt25,2009.07,5319000,20.1
eu,trend,y_lt25,2009.08,5372000,20.4
eu,trend,y_lt25,2009.09,5401000,20.6
eu,trend,y_lt25,2009.10,5378000,20.6
eu,trend,y_lt25,2009.11,5349000,20.5
eu,trend,y_lt25,2009.12,5346000,20.6
eu,trend,y_lt25,2010.01,5354000,20.7
eu,trend,y_lt25,2010.02,5375000,20.8
eu,trend,y_lt25,2010.03,5341000,20.6
eu,trend,y_lt25,2010.04,5355000,20.7
eu,trend,y_lt25,2010.05,5340000,20.6
eu,trend,y_lt25,2010.06,5291000,20.5
eu,trend,y_lt25,2010.07,5255000,20.4
eu,trend,y_lt25,2010.08,5245000,20.4
eu,trend,y_lt25,2010.09,5299000,20.6
eu,trend,y_lt25,2010.10,5371000,20.8
eu,trend,y_lt25,2010.11,5403000,21
eu,trend,y_lt25,2010.12,5407000,21
